"song","artist","rank","weeks_on_board"
"You're My Best Friend","Queen",1072,16
"You're My Better Half","Keith Urban",867,20
"You're My Blessing","Lou Rawls",60,3
"You're My Driving Wheel","The Supremes",66,5
"You're My Everything","Anita Baker",228,20
"You're My Everything","Lee Garrett",204,6
"You're My Everything","The Temptations",906,12
"You're My Girl","Franke & The Knockouts",594,13
"You're My Latest, My Greatest Inspiration","Teddy Pendergrass",421,11
"You're My Man","Lynn Anderson",168,6
"You're My Remedy","The Marvelettes",279,7
"You're My Weakness","Faith Band",60,4
"You're My World","Cilla Black",401,7
"You're My World","Helen Reddy",1282,22
"You're Next","Jimmy Witherspoon",3,1
"You're No Good","Betty Everett",313,10
"You're No Good","Linda Ronstadt",1078,16
"You're No Good","The Swinging Blue Jeans",5,2
"You're Nobody 'til Somebody Loves You","Dinah Washington",14,1
"You're Nobody Till Somebody Loves You","Dean Martin",519,9
"You're Nobody Till Somebody Loves You","The Wonder Who?",5,1
"You're Not Alone","Chicago",1031,17
"You're Not Alone","Olive",633,20
"You're Not My Kind Of Girl","New Edition",14,4
"You're Not Sorry","Taylor Swift",257,5
"You're Only Human (Second Wind)","Billy Joel",1043,16
"You're Only Lonely","J.D. Souther",1367,21
"You're Sixteen","Johnny Burnette",1051,15
"You're Sixteen","Ringo Starr",1206,15
"You're So Beautiful","Empire Cast Featuring Jussie Smollett & Yazz",128,4
"You're So Easy To Love","Tommy James",183,7
"You're So Fine","The Falcons",1138,20
"You're So Unique","Billy Preston",320,8
"You're So Vain","Carly Simon",1401,17
"You're Still A Young Man","Tower Of Power",646,12
"You're Still The One","Shania Twain",3714,42
"You're Supposed To Keep Your Love For Me","Jermaine Jackson",581,13
"You're The Best Thing","The Style Council",85,5
"You're The Best Thing That Ever Happened To Me","Ray Price",115,9
"You're The Boss","LaVern Baker & Jimmy Ricks",49,3
"You're The First, The Last, My Everything","Barry White",1191,15
"You're The Inspiration","Chicago",1421,22
"You're The Inspiration","Peter Cetera Featuring Az Yet",139,10
"You're The Love","Seals & Crofts",834,16
"You're The Love Of My Life/The Love I Lost","Sybil",12,2
"You're The Man (Part 1)","Marvin Gaye",222,5
"You're The One","Guerilla Black Featuring Mario Winans",147,11
"You're The One","SWV",1560,20
"You're The One","The Marvelettes",252,6
"You're The One","The Three Degrees",109,6
"You're The One","The Vogues",879,12
"You're The One-Part II","Little Sister",646,11
"You're The One For Me","Joe Simon",90,5
"You're The One That I Want","John Travolta & Olivia Newton-John",1758,24
"You're The Only Love","Paul Hyde & Payolas",53,4
"You're The Only One","Dolly Parton",161,6
"You're The Only One","Geils",49,3
"You're The Only One","Maria Mena",52,4
"You're The Only Woman","The Brat Pack",490,12
"You're The Only Woman (You & I)","Ambrosia",1036,18
"You're The Only World I Know","Sonny James",44,6
"You're The Reason","Bobby Edwards",912,17
"You're The Reason","Joe South",21,2
"You're The Reason I'm Living","Bobby Darin",1113,14
"You're The Reason Why","The Ebonys",253,7
"You're The Story Of My Life","Desmond Child",100,6
"You're The Voice","John Farnham",74,8
"You're Throwing A Good Love Away","The Spinners",264,7
"You're Welcome","Dwayne Johnson",162,13
"You're Welcome, Stop On By","Bobby Womack",151,7
"You've Been Cheatin'","The Impressions",401,9
"You've Been In Love Too Long","Martha & The Vandellas",359,7
"You've Been My Inspiration","The Main Ingredient",235,9
"You've Got A Friend","James Taylor",1182,14
"You've Got A Friend","Roberta Flack & Donny Hathaway",716,12
"You've Got A Good Love Coming","Van Stephenson",60,4
"You've Got A Way","Shania Twain",380,13
"You've Got Another Thing Comin'","Judas Priest",144,7
"You've Got Another Thing Coming","Hotel",241,8
"You've Got Me Runnin'","Gene Cotton",500,11
"You've Got My Mind Messed Up","James Carr",125,6
"You've Got My Soul On Fire","The Temptations",101,6
"You've Got The Power","James Brown And The Famous Flames",15,1
"You've Got The Power","The Esquires",43,5
"You've Got To Be Loved","The Montanas",226,7
"You've Got To Crawl (Before You Walk)","The 8th Day",587,11
"You've Got To Earn It","The Staple Singers",6,2
"You've Got To Hide Your Love Away","The Silkie",664,10
"You've Got To Love Her With A Feeling","Freddy King",12,2
"You've Got To Pay The Price","Al Kent",393,9
"You've Got To Take It (If You Want It)","The Main Ingredient",397,9
"You've Got What I Need","Shooting Star",72,4
"You've Got Your Troubles","The Fortunes",742,11
"You've Lost That Lovin' Feelin'","Long John Baldry & Kathi MacDonald",32,3
"You've Lost That Lovin' Feelin'","Roberta Flack & Donny Hathaway",146,6
"You've Lost That Lovin' Feelin'","The Righteous Brothers",1334,16
"You've Lost That Lovin' Feeling","Daryl Hall John Oates",1385,20
"You've Lost That Lovin' Feeling","Dionne Warwick",632,10
"You've Made Me So Very Happy","Blood, Sweat & Tears",1031,13
"You've Made Me So Very Happy","Brenda Holloway",379,10
"You've Made Me So Very Happy","Lou Rawls",13,3
"You've Never Been In Love Like This Before","Unit Four plus Two",11,2
"You've Never Been This Far Before","Conway Twitty",797,14
"You've Really Got A Hold On Me","Eddie Money",165,8
"You've Really Got A Hold On Me","The Miracles",1031,16
"You've Still Got A Place In My Heart","Dean Martin",233,7
"You & I","One Direction",143,11
"You & I (Nobody In The World)","John Legend",41,2
"You & Me","J-Kwon Featuring Sadiyyah",180,7
"You & Me","Marc E. Bassy Featuring G-Eazy",396,16
"You + Me = Love/Let's Go Down To The Disco","Undisputed Truth",290,11
"You Ain't Going Nowhere","The Byrds",105,5
"You Ain't Got Nuthin","Lil Wayne Featuring Juelz Santana & Fabolous",20,1
"You Ain't Never Been Loved (Like I'm Gonna Love You)","Jessi Colter",151,5
"You Ain't Seen Nothing Yet","Figures On A Beach",138,7
"You Ain't Seen Nothing Yet/Free Wheelin'","Bachman-Turner Overdrive",1273,17
"You All Dat","Baha Men With Imani Coppola",20,4
"You All Over Me (Taylor's Version) (From The Vault)","Taylor Swift Featuring Maren Morris",79,2
"You Always Come Back (To Hurting Me)","Johnny Rodriguez",32,4
"You Always Hurt Me","The Impressions",9,2
"You Always Hurt The One You Love","Clarence Henry",707,10
"You And  I / You And I","Glee Cast",32,1
"You And I","Eddie Rabbitt With Crystal Gayle",1942,29
"You And I","Johnny Bristol",260,7
"You And I","Lady Gaga",1468,20
"You And I","Rick James",1039,17
"You And Me","Alice Cooper",1331,21
"You And Me","Dave Matthews Band",47,2
"You And Me","Lifehouse",4183,62
"You And Me","Liner",17,2
"You And Me","Rockie Robbins",59,4
"You And Me Against The World","Helen Reddy",1235,20
"You And Me Tonight","Deja",361,12
"You And Tequila","Kenny Chesney Featuring Grace Potter",1124,20
"You And Your Baby Blues","Solomon Burke",7,2
"You And Your Folks, Me And My Folks","Funkadelic",20,2
"You And Your Friends","Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign",92,10
"You And Your Heart","Jack Johnson",140,4
"You Angel You","Manfred Mann's Earth Band",186,7
"You Are","Lionel Richie",1449,18
"You Are A Song","Batdorf & Rodney",65,7
"You Are Beautiful","Johnny Mathis",184,6
"You Are Beautiful","The Stylistics",107,7
"You Are Everything","Dru Hill",103,10
"You Are Everything","The Stylistics",1212,16
"You Are Forever","Smokey Robinson",183,7
"You Are In Love","Taylor Swift",18,1
"You Are In My System","Robert Palmer",94,6
"You Are In My System","The System",187,8
"You Are Mine","Frankie Avalon",513,11
"You Are My Everything","Surface",58,5
"You Are My Heaven","Roberta Flack With Donny Hathaway",313,11
"You Are My Lady","Freddie Jackson",1222,20
"You Are My Starship","Norman Connors",874,16
"You Are My Sunshine","Johnny And The Hurricanes",10,1
"You Are My Sunshine","Mitch Ryder",28,3
"You Are My Sunshine","Ray Charles",852,12
"You Are Not Alone","Michael Jackson",1571,20
"You Are On My Mind","Chicago",261,7
"You Are She","Chad & Jeremy",46,4
"You Are So Beautiful/It's A Sin When You Love Somebody","Joe Cocker",1089,17
"You Are The Best Thing","Ray LaMontagne",11,1
"You Are The Girl","The Cars",859,14
"You Are The Music In Me","Zac Efron & Vanessa Anne Hudgens",160,4
"You Are The One","Chris Cuevas",303,11
"You Are The One","Sugar Bears",358,13
"You Are The One","TKA",39,7
"You Are The Only One","Ricky Nelson",426,8
"You Are The Sunshine Of My Life","Stevie Wonder",1325,17
"You Are The Woman","Firefall",1514,22
"You Baby","The Turtles",809,12
"You Be Illin'","Run-D.M.C.",884,18
"You Be Killin Em","Fabolous",504,18
"You Beat Me To The Punch","Mary Wells",848,12
"You Belong To Me","Carly Simon",1128,18
"You Belong To Me","The Doobie Brothers",51,4
"You Belong To Me","The Duprees",881,13
"You Belong To The City","Glenn Frey",1442,21
"You Belong With Me","Taylor Swift",3990,50
"You Belong With Me (Taylor's Version)","Taylor Swift",26,1
"You Better Dance","The Jets",160,7
"You Better Get It","Joe Tex",295,7
"You Better Go","Derek Martin",99,6
"You Better Know It","Jackie Wilson",443,10
"You Better Move","Lil Uzi Vert",65,1
"You Better Move On","Arthur Alexander",680,12
"You Better Run","Pat Benatar",411,11
"You Better Run","The Young Rascals",436,7
"You Better Sit Down Kids","Cher",945,13
"You Better Think Twice","Poco",139,8
"You Better Wait","Steve Perry",809,16
"You Better You Bet","The Who",886,15
"You Bring Me Up","K-Ci & JoJo",923,20
"You Broke Me First.","Tate McRae",2090,38
"You Broke Up With Me","Walker Hayes",419,19
"You Brought The Joy","Freda Payne",301,8
"You Brought The Woman Out Of Me","Evie Sands",276,8
"You Brought The Woman Out Of Me","Hot",113,5
"You Came","Kim Wilde",391,10
"You Can","Madleen Kane",82,5
"You Can't Always Get What You Want","Glee Cast",30,1
"You Can't Always Get What You Want","The Rolling Stones",367,8
"You Can't Be A Beacon (if Your Light Don't Shine)","Donna Fargo",326,13
"You Can't Be True Dear","The Mary Kaye Trio",37,3
"You Can't Be True, Dear","Patti Page",14,2
"You Can't Change That","Raydio",1366,22
"You Can't Dance","England Dan & John Ford Coley",265,8
"You Can't Deny It","Lisa Stansfield",831,14
"You Can't Do That","The Beatles",176,4
"You Can't Get Away","Shana",64,5
"You Can't Get To Heaven On Roller Skates","Betty Johnson",2,1
"You Can't Get What You Want","Joe Jackson",946,16
"You Can't Hide Beautiful","Aaron Lines",671,17
"You Can't Hurry Love","Phil Collins",1454,21
"You Can't Hurry Love","The Supremes",1091,13
"You Can't Hurt Me No More","Gene Chandler",9,1
"You Can't Judge A Book By The Cover","Bo Diddley",374,10
"You Can't Lie To A Liar","Ketty Lester",11,1
"You Can't Play With My Yo-Yo","Yo-Yo Featuring Ice Cube",552,12
"You Can't Roller Skate In A Buffalo Herd","Roger Miller",254,6
"You Can't Run From Love","Eddie Rabbitt",256,8
"You Can't Sit Down","The Dovells",1090,14
"You Can't Sit Down Part 2","Philip Upchurch Combo",449,8
"You Can't Stand Alone","Wilson Pickett",124,5
"You Can't Stop The Beat","Cast Of Hairspray",15,2
"You Can't Stop The Beat","Glee Cast",34,1
"You Can't Take It Away","Fred Hughes",12,3
"You Can't Take The Honky Tonk Out Of The Girl","Brooks & Dunn",874,20
"You Can't Turn Me Off (In The Middle Of Turning Me On)","High Inergy",1205,22
"You Can't Win (Part 1)","Michael Jackson",44,3
"You Can Bring Me All Your Heartaches","Lou Rawls",268,8
"You Can Call Me Al","Paul Simon",1271,29
"You Can Call Me Blue","Michael Johnson",41,3
"You Can Depend On Me","Brenda Lee",928,12
"You Can Do It","Dobie Gray",446,11
"You Can Do It","Ice Cube Featuring Mack 10 & Ms. Toi",539,12
"You Can Do Magic","America",1445,20
"You Can Do Magic","Limmie & Family Cookin'",99,10
"You Can Get It All","Bow Wow Featuring Johnta Austin",323,10
"You Can Have Her","Roy Hamilton",691,10
"You Can Have Her","Sam Neely",499,11
"You Can Have Her","The Righteous Brothers",130,5
"You Can Have Him","Dionne Warwick",94,6
"You Can Have Him","Timi Yuro",7,2
"You Can Make History (Young Again)","Elton John",328,17
"You Can Never Stop Me Loving You","Johnny Tillotson",652,10
"You Can Run (But You Can't Hide)","Jerry Butler",196,7
"You Changed Me","Jamie Foxx Featuring Chris Brown",11,2
"You Cheated","The Shields",904,16
"You Cheated","The Slades",326,12
"You Complete Me","Keyshia Cole",208,10
"You Could Be Mine","Guns N' Roses",783,15
"You Could Have Been A Lady","April Wine",537,11
"You Could Have Been With Me","Sheena Easton",1148,18
"You Could Take My Heart Away","Silver Condor",582,13
"You Da Baddest","Future Featuring Nicki Minaj",77,2
"You Da One","Rihanna",1105,20
"You Decorated My Life","Kenny Rogers",1149,18
"You Didn't Have To Be So Nice","The Lovin' Spoonful",847,12
"You Don't Believe","The Alan Parsons Project",348,10
"You Don't Belong","Daughtry",6,1
"You Don't Bring Me Flowers","Barbra Streisand & Neil Diamond",1419,17
"You Don't Have To Be A Baby To Cry","The Caravelles",985,13
"You Don't Have To Be A Star (To Be In My Show)","Marilyn McCoo & Billy Davis, Jr.",1847,26
"You Don't Have To Be A Tower Of Strength","Gloria Lynne",1,1
"You Don't Have To Cry","Rene & Angela",101,7
"You Don't Have To Go Home Tonight","The Triplets",971,16
"You Don't Have To Hurt No More","Mint Condition",694,16
"You Don't Have To Love Me","Monifah",143,9
"You Don't Have To Say You Love Me","Dusty Springfield",1025,13
"You Don't Have To Say You Love Me","The Four Sonics",20,2
"You Don't Have To Say You Love Me/Patch It Up","Elvis Presley",715,10
"You Don't Have To Walk In The Rain","The Turtles",263,7
"You Don't Have To Worry","Mary J. Blige",274,13
"You Don't Know","Eminem, 50 Cent, Lloyd Banks & Ca$his",311,6
"You Don't Know","Scarlett & Black",919,18
"You Don't Know Girls","Kathy Linden",19,3
"You Don't Know Her Like I Do","Brantley Gilbert",675,24
"You Don't Know How It Feels","Tom Petty",1581,22
"You Don't Know Like I Know","Sam & Dave",21,2
"You Don't Know Me","Elvis Presley With The Jordanaires",265,6
"You Don't Know Me","Lenny Welch",421,13
"You Don't Know Me","Mickey Gilley",332,12
"You Don't Know Me","Ray Charles",902,11
"You Don't Know My Name","Alicia Keys",1691,20
"You Don't Know Nothin'","For Real",39,4
"You Don't Know What It Means","Jackie Wilson",56,3
"You Don't Know What You've Got (Until You Lose It)","Ral Donner",912,12
"You Don't Know What You Mean To Me","Sam & Dave",375,8
"You Don't Love Me (No, No, No)","Dawn Penn",348,12
"You Don't Love Me Anymore","Eddie Rabbitt",251,7
"You Don't Love Me Anymore (And I Can Tell)","Rick Nelson",301,7
"You Don't Mess Around With Jim","Jim Croce",975,13
"You Don't Miss Your Water","William Bell",6,1
"You Don't Need Me For Anything Anymore","Brenda Lee",46,3
"You Don't Own Me","Grace Featuring G-Eazy",517,20
"You Don't Own Me","Lesley Gore",1025,13
"You Don't Want Me Anymore","Steel Breeze",1041,20
"You Don't Want My Love","Andy Williams",162,7
"You Dropped A Bomb On Me","The Gap Band",668,13
"You Found Me","The Fray",3075,39
"You Gave Me A Mountain","Frankie Laine",674,11
"You Gave Me Something (And Everything's Alright)","Fantastic Four",237,7
"You Get What You Give","New Radicals",921,20
"You Gets No Love","Faith Evans",826,20
"You Give Good Love","Whitney Houston",1373,21
"You Give Love A Bad Name","Blake Lewis",220,4
"You Give Love A Bad Name","Bon Jovi",1561,24
"You Gon' Learn","Eminem Featuring Royce da 5'9"" & White Gold",51,2
"You Gonna Fly","Keith Urban",495,18
"You Gonna Make Me Love Somebody Else","The Jones Girls",439,11
"You Got It","Diana Ross",223,7
"You Got It","Roy Orbison",1123,18
"You Got It","VEDO",207,16
"You Got It (From ""Boys On The Side"")","Bonnie Raitt",748,17
"You Got It (The Right Stuff)","New Kids On The Block",1575,26
"You Got It All","The Jets",1592,26
"You Got Lucky","Tom Petty And The Heartbreakers",1069,18
"You Got Me","The Roots Featuring Erykah Badu",599,14
"You Got Me Hummin","Cold Blood",181,6
"You Got Me Hummin'","Sam & Dave",73,6
"You Got Me Walking","Jackie Wilson",14,3
"You Got Soul","Johnny Nash",188,7
"You Got That Right","Lynyrd Skynyrd",80,4
"You Got That Touch","Sonny James",11,2
"You Got The Love","Professor Morrison's Lollipop",39,3
"You Got The Love","Rufus Featuring Chaka Khan",1069,16
"You Got The Magic","John Fogerty",38,4
"You Got The Power","War",123,6
"You Got To Be The One","The Chi-lites",34,3
"You Got To Me","Neil Diamond",521,8
"You Got To Pay The Price","Gloria Taylor",359,9
"You Got What It Takes","Joe Tex",223,6
"You Got What It Takes","Marv Johnson",1445,22
"You Got What It Takes","The Dave Clark Five",723,10
"You Got Yours And I'll Get Mine","The Delfonics",403,10
"You Gotta Be","Des'ree",3072,44
"You Gotta Believe","Marky Mark & The Funky Bunch",367,10
"You Gotta Have Love In Your Heart","The Supremes & Four Tops",157,5
"You Gotta Love Someone","Elton John",530,13
"You Gotta Make Your Own Sunshine","Neil Sedaka",198,5
"You Had Me From Hello","Kenny Chesney",871,20
"You Have Placed A Chill In My Heart","Eurythmics",179,7
"You Have The Right To Remain Silent","Perfect Stranger",264,10
"You Haven't Done Nothin","Stevie Wonder",1398,19
"You Just Can't Win (By Making The Same Mistake)","Gene & Jerry",17,3
"You Keep Me Dancing","Samantha Sang",203,7
"You Keep Me Hangin' On","Kim Wilde",1316,21
"You Keep Me Hangin' On","The Supremes",999,12
"You Keep Me Hangin' On","The Vanilla Fudge",1046,17
"You Keep Me Hangin' On/Hurt So Bad","Jackie DeShannon",5,1
"You Keep Me Hanging On","Wilson Pickett",24,3
"You Keep Me Holding On","Tyrone Davis",15,3
"You Keep Runnin' Away","38 Special",455,11
"You Keep Running Away","Four Tops",519,8
"You Keep Tightening Up On Me","The Box Tops",18,2
"You Know How We Do It","Ice Cube",1046,20
"You Know I'm No Good","Amy Winehouse",159,13
"You Know I Love You ... Don't You?","Howard Jones",1005,16
"You Know It Ain't Right","Joe Hinton",35,3
"You Know Like I Know","Ozark Mountain Daredevils",217,12
"You Know My Name","Chris Cornell",26,2
"You Know My Steez","Gang Starr",217,13
"You Know That I Love You","Donell Jones",585,20
"You Know That I Love You","Santana",565,13
"You Know What I Mean","The Turtles",743,11
"You Know What It Is","T.I. Featuring Wyclef Jean",769,18
"You Know What To Do","Carly Simon",56,4
"You Know You're Right","Nirvana",842,20
"You Know You Like It","DJ Snake & AlunaGeorge",1385,21
"You Learn/You Oughta Know","Alanis Morissette",2357,30
"You Let Your Heart Go Too Fast","Spin Doctors",434,10
"You Lie","The Band Perry",903,20
"You Lied To Me","Cathy Dennis",581,13
"You Lied To Your Daddy","The Tams",108,5
"You Light Up My Life","Debby Boone",2063,25
"You Light Up My Life","Kacey Cisyk/Original Cast",76,4
"You Light Up My Life","LeAnn Rimes",979,20
"You Light Up My Life/Believe In Humanity","Carole King",498,9
"You Like Me Don't You","Jermaine Jackson",236,9
"You Little Trustmaker","The Tymes",825,13
"You Look Good","Lady Antebellum",552,20
"You Look Good In My Shirt","Keith Urban",647,17
"You Look Like I Need A Drink","Justin Moore",109,8
"You Look Marvelous","Billy Crystal",319,12
"You Lost The Sweetest Boy","Mary Wells",580,9
"You Made A Believer (Out Of Me)","Ruby Andrews",10,2
"You Made Me Believe In Magic","Bay City Rollers",1146,17
"You Made Me Love You","Nat King Cole",333,9
